Shipment_ID,Shipment_Date,Shipping_Mode,Days_for_shipment_scheduled,Category_Name,Market,Order_Region,Customer_Country,Customer_City,Order_Item_Quantity,Sales_per_customer,Order_Item_Total,Order_Profit_Per_Order,Late_delivery_risk
SHP-1001,2026-01-03,Standard Class,4,Sporting Goods,Pacific Asia,Southeast Asia,India,Hyderabad,2,245.5,221,24.5,0
SHP-1002,2026-01-04,Second Class,2,Electronics,Europe,Western Europe,Germany,Berlin,1,899,820,79,1
SHP-1003,2026-01-05,First Class,1,Clothing,USCA,West of USA,United States,Los Angeles,3,180,156,24,0
SHP-1004,2026-01-06,Standard Class,4,Office Supplies,LATAM,South America,Brazil,Sao Paulo,6,312.75,279,33.75,1
SHP-1005,2026-01-07,Same Day,0,Books,Africa,West Africa,Nigeria,Lagos,2,68,55,13,0
SHP-1006,2026-01-08,Second Class,2,Furniture,Europe,Northern Europe,United Kingdom,London,1,650,590,60,0
SHP-1007,2026-01-09,Standard Class,4,Health and Beauty,Pacific Asia,South Asia,India,Bengaluru,4,125,104,21,1
SHP-1008,2026-01-10,First Class,1,Pet Supplies,LATAM,Central America,Mexico,Mexico City,2,98.5,84,14.5,0
SHP-1009,2026-01-11,Standard Class,4,Sportswear,USCA,East of USA,United States,New York,5,410,365,45,1
SHP-1010,2026-01-12,Second Class,2,Technology,Europe,Eastern Europe,Poland,Warsaw,1,740,675,65,0
SHP-1011,2026-01-13,Standard Class,4,Home Decor,LATAM,South America,Argentina,Buenos Aires,3,230,198,32,1
SHP-1012,2026-01-14,Same Day,0,Pharmacy,Africa,North Africa,Egypt,Cairo,2,154,140,14,0
SHP-1013,2026-01-15,First Class,1,Footwear,Pacific Asia,Southeast Asia,Singapore,Singapore,2,189,161,28,0
SHP-1014,2026-01-16,Standard Class,4,Consumer Electronics,USCA,Central USA,United States,Chicago,1,1100,1000,100,1
SHP-1015,2026-01-17,Second Class,2,Kitchen,Europe,Southern Europe,Italy,Rome,4,275,236,39,0
SHP-1016,2026-01-18,Standard Class,4,Toys,LATAM,Caribbean,Dominican Republic,Santo Domingo,7,340,287,53,1
SHP-1017,2026-01-19,First Class,1,Accessories,Africa,Southern Africa,South Africa,Cape Town,3,145,121,24,0
SHP-1018,2026-01-20,Second Class,2,Camping,Pacific Asia,East Asia,Japan,Tokyo,2,520,468,52,0
SHP-1019,2026-01-21,Standard Class,4,Apparel,Europe,Western Europe,France,Paris,5,295,255,40,1
SHP-1020,2026-01-22,Same Day,0,Personal Care,USCA,South of USA,United States,Miami,2,88,74,14,0
